collaborators,tally
0,116650
1,278273
2,383712
3,363829
4,293876
5,229193
6,169139
7,134351
8,105416
9,87150
10,70728
11,59621
12,50602
13,43906
14,37934
15,32669
16,29608
17,26552
18,24233
19,21166
20,18907
21,17418
22,16002
23,15039
24,13611
25,12315
26,11607
27,10866
28,9960
29,9086
30,8745
31,8303
32,7696
33,7219
34,6651
35,6284
36,5969
37,5564
38,5430
39,5206
40,4836
41,4621
42,4451
43,4159
44,4006
45,3929
46,3578
47,3616
48,3295
49,3210
50,3080
51,2938
52,2728
53,2765
54,2579
55,2535
56,2375
57,2167
58,2204
59,2207
60,2055
61,1949
62,1920
63,1959
64,1763
65,1626
66,1603
67,1606
68,1641
69,1589
70,1524
71,1457
72,1309
73,1423
74,1429
75,1272
76,1216
77,1190
78,1176
79,1137
80,1090
81,1048
82,1012
83,974
84,983
85,907
86,871
87,943
88,811
89,854
90,867
91,867
92,777
93,751
94,749
95,841
96,664
97,665
98,720
99,612
100,747
101,664
102,632
103,595
104,621
105,575
106,524
107,504
108,525
109,493
110,474
111,491
112,463
113,466
114,493
115,401
116,451
117,450
118,571
119,382
120,429
121,399
122,381
123,447
124,375
125,349
126,366
127,363
128,431
129,457
130,323
131,350
132,364
133,299
134,326
135,281
136,287
137,274
138,244
139,270
140,274
141,268
142,324
143,287
144,255
145,234
146,253
147,227
148,249
149,242
150,224
151,207
152,212
153,215
154,212
155,193
156,214
157,231
158,209
159,178
160,166
161,160
162,168
163,179
164,181
165,180
166,169
167,193
168,172
169,163
170,158
171,162
172,152
173,163
174,153
175,255
176,121
177,155
178,150
179,159
180,134
181,142
182,143
183,202
184,129
185,150
186,137
187,123
188,142
189,106
190,123
191,125
192,140
193,124
194,107
195,115
196,108
197,103
198,108
199,92
200,108
201,84
202,88
203,94
204,104
205,90
206,89
207,72
208,88
209,84
210,85
211,94
212,83
213,85
214,86
215,76
216,74
217,74
218,75
219,73
220,76
221,70
222,75
223,70
224,71
225,65
226,61
227,78
228,82
229,66
230,64
231,54
232,62
233,62
234,62
235,50
236,57
237,58
238,60
239,69
240,53
241,65
242,67
243,64
244,48
245,55
246,42
247,56
248,48
249,59
250,51
251,37
252,43
253,56
254,45
255,39
256,59
257,37
258,44
259,29
260,46
261,51
262,42
263,134
264,59
265,40
266,54
267,47
268,43
269,33
270,53
271,33
272,42
273,44
274,36
275,43
276,51
277,32
278,45
279,45
280,40
281,40
282,36
283,33
284,42
285,45
286,226
287,42
288,29
289,43
290,36
291,27
292,32
293,42
294,36
295,38
296,50
297,36
298,25
299,36
300,38
301,31
302,34
303,24
304,28
305,26
306,27
307,26
308,30
309,24
310,18
311,27
312,25
313,24
314,22
315,25
316,22
317,21
318,17
319,19
320,25
321,13
322,23
323,19
324,15
325,24
326,29
327,21
328,16
329,16
330,18
331,15
332,17
333,26
