publications_cnt,tally
1,4021
2,1409013
3,458897
4,229946
5,144895
6,100316
7,74039
8,57972
9,46170
10,37956
11,31938
12,26697
13,22907
14,20002
15,17563
16,15497
17,13492
18,12231
19,10965
20,9737
21,8900
22,8207
23,7364
24,6670
25,6134
26,5750
27,5337
28,4981
29,4452
30,4327
31,4037
32,3868
33,3587
34,3370
35,3133
36,3038
37,2844
38,2681
39,2509
40,2481
41,2370
42,2124
43,2144
44,2016
45,1947
46,1847
47,1748
48,1611
49,1571
50,1573
51,1456
52,1409
53,1415
54,1366
55,1247
56,1299
57,1245
58,1126
59,1078
60,1012
61,1004
62,1009
63,964
64,922
65,885
66,894
67,868
68,824
69,805
70,771
71,780
72,760
73,715
74,699
75,692
76,640
77,657
78,599
79,580
80,573
81,579
82,594
83,553
84,541
85,504
86,514
87,482
88,473
89,475
90,428
91,454
92,423
93,459
94,432
95,395
96,364
97,375
98,361
99,389
100,330
101,354
102,341
103,321
104,355
105,327
106,313
107,302
108,323
109,302
110,306
111,283
112,299
113,256
114,267
115,256
116,288
117,254
118,266
119,242
120,238
121,229
122,240
123,213
124,222
125,224
126,232
127,193
128,203
129,206
130,197
131,191
132,184
133,184
134,212
135,179
136,177
137,167
138,161
139,174
140,171
141,137
142,140
143,155
144,150
145,163
146,157
147,155
148,136
149,147
150,149
151,128
152,138
153,133
154,117
155,129
156,137
157,118
158,134
159,115
160,113
161,108
162,100
163,121
164,90
165,102
166,105
167,106
168,92
169,109
170,86
171,102
172,87
173,87
174,77
175,89
176,84
177,97
178,77
179,84
180,70
181,85
182,69
183,77
184,85
185,90
186,68
187,69
188,104
189,72
190,78
191,84
192,75
193,61
194,67
195,66
196,69
197,68
198,46
199,57
200,63
201,55
202,60
203,61
204,53
205,55
206,60
207,58
208,52
209,56
210,50
211,43
212,60
213,38
214,49
215,60
216,56
217,41
218,43
219,34
220,44
221,46
222,52
223,41
224,48
225,54
226,55
227,46
228,47
229,34
230,35
231,38
232,40
233,35
234,48
235,39
236,32
237,51
238,29
239,39
240,33
241,34
242,37
243,34
244,31
245,36
246,36
247,40
248,47
249,47
250,34
251,35
252,41
253,37
254,19
255,32
256,31
257,29
258,22
259,23
260,24
261,38
262,33
263,28
264,23
265,35
266,29
267,29
268,21
269,30
270,21
271,29
272,34
273,22
274,23
275,20
276,20
277,23
278,15
279,19
280,23
281,21
282,19
283,22
284,16
285,27
286,17
287,9
288,23
289,13
